Complex_Name,kaptCode,bjdCode,Household_Num,Begin_Date,Heating_Method,House_Type,Elec_Con,Elev_Num,Park_Above,Park_Below
"길음뉴타운푸르지오아파트2,3단지",A13611007,1129013400,2068,20050420,개별난방,아파트,단일계약,59,360,2201
길음뉴타운대림4단지,A13611006,1129013400,1605,20050420,개별난방,아파트,종합계약,46,288,1610
길음신안파크,A13680701,1129013400,252,19881126,개별난방,아파트,단일계약,10,206,0
래미안길음1차,A13611103,1129013400,1125,20030129,개별난방,아파트,단일계약,31,135,1171
길음뉴타운7단지,A13679403,1129013400,449,20100728,개별난방,아파트,단일계약,12,12,516
길음동부제2,A13611002,1129013400,300,20030331,개별난방,아파트,단일계약,4,18,192
길음삼부,A13611004,1129013400,684,19980202,개별난방,아파트,단일계약,17,154,133
길음뉴타운8단지제2,A13611010,1129013400,120,20100630,개별난방,아파트,단일계약,2,0,84
길음SHVILLE,A13611009,1129013400,90,20080204,개별난방,아파트,단일계약,1,0,93
길음뉴타운4단지임대,A13611001,1129013400,276,20050420,개별난방,아파트,단일계약,3,0,195
길음뉴타운3단지임대,A13611102,1129013400,282,20050420,개별난방,아파트,단일계약,4,0,204
길음뉴타운8단지,A13611008,1129013400,1497,20100630,개별난방,아파트,단일계약,53,49,1701
길음뉴타운9단지제2,A13679402,1129013400,242,20100930,개별난방,아파트,단일계약,4,0,176
길음현대,A13606006,1129013400,132,20001228,개별난방,아파트,종합계약,2,33,47
래미안길음센터피스,A10025638,1129013400,2352,20191129,개별난방,아파트,종합계약,47,0,2610
길음뉴타운7단지제2,A13611012,1129013400,99,20100728,개별난방,아파트,단일계약,4,0,76
롯데캐슬클라시아,A10023926,1129013400,2029,20220127,개별난방,아파트,종합계약,102,0,2451
길음뉴타운11단지 롯데캐슬골든힐스아파트,A10025753,1129013400,399,20190507,개별난방,아파트,종합계약,16,0,486
종암2차아이파크,A13671204,1129013500,782,20050930,개별난방,아파트,단일계약,25,13,888
종암우림카이저팰리스,A13609001,1129013500,161,20080501,개별난방,주상복합,단일계약,5,2,218
종암SK제2,A13671210,1129013500,465,19990407,개별난방,아파트,단일계약,5,93,37
래미안라센트,A13671209,1129013500,837,20110131,개별난방,아파트,종합계약,21,0,1011
래미안종암2차,A13671212,1129013500,206,20091029,개별난방,아파트,단일계약,3,0,148
종암선경아파트,A13671203,1129013500,238,19960919,개별난방,아파트,단일계약,12,76,86
종암극동아파트,A13671207,1129013500,297,20001207,개별난방,아파트,단일계약,10,123,210
래미안세레니티,A13671208,1129013500,955,20091029,개별난방,아파트,단일계약,25,0,1141
종암SK,A13671205,1129013500,1318,19990407,개별난방,아파트,단일계약,21,324,1179
종암2차SK뷰,A13671213,1129013500,393,20101029,개별난방,아파트,단일계약,10,0,448
종암아이파크1차,A13671206,1129013500,513,20040924,개별난방,아파트,단일계약,15,46,530
종암삼성래미안,A13686302,1129013500,1168,20040924,개별난방,아파트,단일계약,31,139,1196
래미안종암3차,A13671211,1129013500,188,20110131,개별난방,아파트,단일계약,6,0,132
종암sh빌아파트,A10024603,1129013500,104,20070420,개별난방,아파트,,,,
동일하이빌뉴시티,A13613011,1129013600,440,20111130,개별난방,주상복합,단일계약,8,759,185
하월곡동신,A13613005,1129013600,746,19980701,개별난방,아파트,단일계약,26,240,400
성북힐스테이트,A13613004,1129013600,285,20070830,개별난방,주상복합,종합계약,9,0,426
하월곡아남,A13613001,1129013600,198,19961203,개별난방,아파트,종합계약,5,50,101
하월곡샹그레빌,A13613201,1129013600,352,20040707,개별난방,아파트,단일계약,10,110,268
월곡3SH-vill,A13613003,1129013600,288,20080625,개별난방,아파트,단일계약,3,42,167
길음서희스타힐스,A13613012,1129013600,198,20110624,개별난방,주상복합,단일계약,7,0,352
월곡두산제2아파트임대,A13613010,1129013600,458,20030430,개별난방,아파트,단일계약,6,19,59
꿈의숲푸르지오,A13613009,1129013600,714,20100429,개별난방,아파트,단일계약,31,95,634
월곡두산위브아파트,A13613008,1129013600,2197,20030430,개별난방,아파트,단일계약,67,186,2476
래미안월곡,A13613007,1129013600,1372,20060719,개별난방,아파트,종합계약,37,68,1678
월곡2SHville임대,A13613002,1129013600,209,20081016,개별난방,아파트,단일계약,3,12,136
월곡래미안루나밸리,A13613006,1129013600,787,20071023,개별난방,아파트,단일계약,19,4,928
삼전솔하임3차,A10023322,1129013600,190,20131111,개별난방,도시형 생활주택(아파트),단일계약,2,50,0
월곡갑을명가주상복합아파트,A10024661,1129013600,145,20070730,개별난방,,,,,
상월곡우남,A13612001,1129013700,225,19941224,개별난방,아파트,단일계약,7,141,83
성북동아에코빌,A13612002,1129013700,1253,20030627,개별난방,아파트,단일계약,29,417,1028
동아에코빌,A13678401,1129013700,278,20030627,개별난방,아파트,단일계약,4,90,38
꿈의숲대명루첸,A13614001,1129013800,611,20081226,개별난방,아파트,종합계약,18,56,728
