,kaptCode,Date,electC,electComb,Elec_Con,Elev_Num,Park_Below,Begin_Date
0,A13203302,202210.0,12384.995085995086,46682.88206388206,0.0,0.036855036855036855,0.8501228501228502,7146
1,A13203303,202210.0,4845.243932038835,30853.593446601943,0.0,0.019417475728155338,0.0,12861
2,A13295201,202210.0,12872.025806451613,49366.99354838709,0.0,0.03870967741935484,0.9419354838709677,5532
3,A13286107,202210.0,770.2577319587629,41554.15807560137,0.0,0.037800687285223365,0.2542955326460481,7268
4,A13287801,202210.0,5637.128919860627,41772.59930313589,0.0,0.04529616724738676,0.08013937282229965,9750
5,A13286203,202210.0,3505.905303030303,26752.799242424244,1.0,0.01893939393939394,0.0,12392
6,A13286109,202210.0,5406.9731800766285,34521.77522349936,0.0,0.031928480204342274,0.0421455938697318,11444
7,A13203403,202210.0,6371.761658031088,38968.65284974093,0.0,0.03367875647668394,0.0,11010
8,A13286110,202210.0,1707.2434250764527,23136.41773700306,0.0,0.015902140672782873,0.0,12132
9,A13287503,202210.0,4630.40202020202,37519.95757575757,0.0,0.024242424242424242,0.0,12690
10,A13203202,202210.0,3994.6398305084745,46718.83474576271,1.0,0.029661016949152543,0.423728813559322,9345
11,A13286304,202210.0,3507.682673588579,29193.977287475664,0.0,0.020116807268007787,0.0,12113
12,A13286106,202210.0,40319.2891566265,40319.2891566265,0.0,0.03413654618473896,0.0,11811
13,A13203408,202210.0,4317.576811594203,30125.54782608696,0.0,0.02608695652173913,0.0,11469
14,A13286904,202210.0,8090.774509803921,40557.0,1.0,0.0392156862745098,0.21323529411764705,10380
15,A13203002,202210.0,4835.665529010239,50613.31058020478,0.0,0.030716723549488054,1.0853242320819112,2879
16,A13203102,202210.0,8835.142857142857,8835.142857142857,0.0,0.047619047619047616,0.5492063492063493,9306
17,A13286105,202210.0,6060.0,38471.086956521736,0.0,0.026570048309178744,0.23671497584541062,11223
18,A13203001,202210.0,7385.0,7385.0,0.0,0.05194805194805195,0.42857142857142855,6104
19,A13203401,202210.0,2668.6631578947367,52572.45263157895,0.0,0.07368421052631578,0.9947368421052631,6531
20,A13286002,202210.0,7698.005208333333,41231.80729166666,0.0,0.036458333333333336,0.2760416666666667,10306
21,A13202306,202210.0,4518.690476190476,34583.77976190476,0.0,0.020833333333333332,0.3869047619047619,9452
22,A13285503,202210.0,54929.056603773584,54929.056603773584,1.0,0.04245283018867924,0.8490566037735849,6273
23,A13282510,202210.0,2056.663082437276,43504.63799283154,0.0,0.034050179211469536,0.4229390681003584,10381
24,A13276416,202210.0,8698.788753799392,38739.73100303952,0.0,0.037993920972644375,0.41793313069908816,10809
25,A13202302,202210.0,8610.239520958085,41197.4251497006,0.0,0.041916167664670656,0.49101796407185627,10380
26,A13285406,202210.0,2078.3266998341624,56695.78938640133,0.0,0.02321724709784411,1.406301824212272,7061
27,A13283405,202210.0,7737.610062893082,43927.67295597484,1.0,0.03459119496855346,0.6509433962264151,8662
28,A13202308,202210.0,3422.5,30486.638655462182,0.0,0.02100840336134454,0.0,12266
29,A13276414,202210.0,6618.0,40621.28571428572,1.0,0.04285714285714286,0.14285714285714285,10736
30,A13202102,202210.0,5226.744186046512,37231.66666666666,0.0,0.07751937984496124,0.6085271317829457,9381
31,A13276415,202210.0,11541.881390593047,44658.10838445808,0.0,0.041922290388548056,0.1492842535787321,10104
32,A13285507,202210.0,2032.6592797783933,41706.14958448753,0.0,0.024930747922437674,0.45429362880886426,9763
33,A13202103,202210.0,12820.833333333334,52573.40277777778,1.0,0.027777777777777776,0.9270833333333334,7061
34,A13202002,202210.0,10860.194835680752,49677.440532081375,0.0,0.024256651017214397,1.5242566510172144,7416
35,A13285401,202210.0,12190.402298850577,50846.09195402299,0.0,0.022988505747126436,0.7068965517241379,6868
36,A13202304,202210.0,0.0,23000.545454545456,0.0,0.00909090909090909,0.13636363636363635,12652
37,A13272102,202210.0,2689.496124031008,63035.81395348837,0.0,0.031007751937984496,1.251937984496124,5932
38,A13283611,202210.0,7034.462121212121,44696.88636363636,0.0,0.03333333333333333,0.2803030303030303,10736
39,A13276417,202210.0,33868.69120654397,33868.69120654397,0.0,0.024539877300613498,0.0,11126
40,A13202312,202210.0,5862.306721363206,32653.76459450931,0.0,0.021142316188071948,0.053960239823288104,12832
41,A13285305,202210.0,8569.322766570605,42519.06340057637,1.0,0.02881844380403458,0.5677233429394812,9928
42,A13285601,202210.0,11350.980392156862,40945.35947712418,0.0,0.0196078431372549,0.9673202614379085,8539
43,A10024822,202210.0,10556.194029850749,41666.71641791045,1.0,0.05223880597014925,0.4626865671641791,1904
44,A13204506,202210.0,36772.44988864142,36772.44988864142,0.0,0.028953229398663696,0.5256124721603563,9210
45,A13204502,202210.0,15954.298969072164,59431.05154639176,0.0,0.02577319587628866,1.5515463917525774,5315
46,A13204501,202210.0,6344.36170212766,46125.6914893617,0.0,0.02127659574468085,0.9627659574468085,8279
47,A13204505,202210.0,2273.0913348946137,26402.201405152224,0.0,0.02107728337236534,0.0,12425
48,A13290404,202210.0,14935.311036789297,56006.21404682274,0.0,0.030100334448160536,0.9665551839464883,6618
49,A13204503,202210.0,6118.331707317073,44655.50243902439,0.0,0.01951219512195122,0.9853658536585366,7955
50,A13204402,202210.0,6705.415841584158,56141.9504950495,0.0,0.034653465346534656,1.381188118811881,6839
51,A13204510,202210.0,10977.47986414362,59245.27704997574,1.0,0.024260067928190198,1.4497816593886463,6411
52,A13292002,202210.0,10767.589108910892,52298.28217821782,0.0,0.0297029702970297,1.099009900990099,7163
