,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13120701,,,,,,,2916152,6169440,,
1,A13184401,0,0,0,0,0,0,,,,
2,A13183202,,,0,0,,,1293150,7390840,0,0
3,A13184301,0,0,,,,,,,,
4,A13183504,0,0,0,0,0,0,,,607270,9936560
5,A13183701,0,0,,,0,0,964014,7621640,,
6,A13181203,,,,,0,0,4891890,19914670,,
7,A13120403,,,0,0,0,0,3995916,14713530,,
8,A13184107,0,0,,,,,9569419,18794860,-888300,13833160
9,A13183405,,,0,0,,,1765800,13140870,,
10,A13120704,,,,,0,0,,,0,0
11,A13184502,,,,,,,6250160,6211400,,
12,A13183303,0,0,,,,,1954350,6212250,,
13,A13120001,,,,,,,1072850,9522500,,
14,A13188406,0,0,,,0,0,,,,
15,A13177701,0,0,,,,,11540840,0,0,0
16,A13183204,0,0,0,0,0,0,2479358,17373842,,
17,A13184208,,,,,,,,,,
18,A13183502,,,116580,0,0,0,2548640,9141480,118880,0
19,A13181201,,,83390,0,,,171700,7451890,,
20,A13175103,0,0,0,0,,,,,,
21,A13175102,,,,,,,,,,
22,A10028033,0,0,,,0,0,4184290,13601660,0,0
23,A10025159,0,0,,,,,5360330,21445000,,
24,A13120003,,,,,,,,,,
25,A10024703,0,0,,,,,6560462,18287710,,
26,A10023384,,,,,,,,,,
27,A10024443,,,,,,,,,,
28,A10024741,0,0,,,0,0,22955616,70868330,80520,26287700
29,A10024366,,,,,,,,,,
30,A10023606,,,,,,,,,,
31,A13185602,0,0,,,,,4141714,13758600,,
32,A13185603,0,0,0,0,,,4270980,15558770,,
33,A13170401,,,,,,,6181113,22521530,,
34,A13186306,20936080,0,,,13011379,0,,,594126,0
35,A13186401,,,,,0,0,4338190,12434150,0,7464560
36,A13122104,,,,,0,0,29555363,0,,
37,A13186305,,,,,0,16998640,,,583770,15078610
38,A13185607,0,0,0,0,0,0,,,0,0
39,A13122001,0,0,,,0,0,,,,
40,A13187501,0,0,0,0,0,0,865150,6381120,0,0
41,A13187702,0,0,453330,0,,,9001418,56316710,,
42,A10026046,,,,,,,,,,
43,A13176801,0,0,,,,,2661549,7132320,,
44,A13114103,0,0,0,0,,,,,,
45,A13184804,,,,,0,0,679210,7279910,,
46,A13184609,,,0,0,0,15014200,,,211220,13852700
47,A13184610,,,0,0,0,35268400,15149657,54686680,225850,28972950
48,A13114106,0,0,,,0,0,,,0,0
49,A13185508,,,,,,,29983670,0,12353680,0
50,A13185501,0,0,0,0,0,0,,,0,0
51,A13185507,,,0,0,,,,,,
52,A13185502,0,0,,,0,0,792150,6305630,0,0
53,A13114002,0,0,,,0,1095780,,,613870,12758880
54,A13185402,,,,,,,,,,
55,A13114201,0,0,,,0,0,698344,6757560,0,3799690
56,A10025855,0,0,,,,,9748800,29935000,0,0
57,A10025187,,,,,,,,,,
58,A10026469,,,,,0,0,,,0,5509680
59,A13123102,0,0,,,,,2893699,29485640,0,13608790
60,A13176102,,,,,0,0,,,,
61,A13123002,,,0,0,0,0,,,,
62,A13123001,,,0,0,0,0,9999630,0,0,0
63,A13123101,,,0,0,0,0,,,0,3045970
64,A13176101,,,,,,,,,,
65,A10027498,,,,,,,,,,
66,A10023816,,,0,0,,,,,,
67,A10024008,7521710,2505320,-344760,344760,,,,,-324865,4132240
68,A10024018,1366080,4530340,,,0,7352640,,,,
69,A10024214,,,,,0,10575000,,,168240,9156120
70,A10023952,6688880,0,,,10001820,0,,,6863190,0
71,A13186801,,,0,0,0,0,,,0,2578380
72,A13186503,,,,,0,0,2305357,10383500,0,0
73,A13176902,943480,8491110,,,,,,,149800,0
74,A13113002,,,0,0,,,,,,
75,A13113006,-359300,354050,,,0,0,2107560,10218700,588120,3908600
76,A13186905,,,143630,0,,,2233760,0,,
77,A13113001,0,0,,,0,0,,,,
78,A13186502,,,0,0,0,0,2594450,6040670,27890,3594310
79,A13178101,,,,,0,33239700,,,4444780,17791280
80,A13176901,,,,,0,21724500,,,0,22009850
81,A13113003,19464960,10476730,,,-7476000,7476000,,,860020,8987530
82,A13187306,-110,28314910,,,-670,19800070,5188540,0,,
83,A13186504,,,,,,,3523949,12347610,,
84,A13187406,0,0,,,0,0,4157667,20454780,0,11616140
85,A13113004,7327750,34444800,0,0,0,11079100,,,,
86,A13187302,1828600,17379920,0,0,,,,,143470,10789430
87,A13187305,2446100,35733950,0,0,0,10054620,,,814390,15361260
88,A13186907,,,,,0,0,,,877665,0
89,A13187004,,,,,0,0,,,,
90,A13186708,,,,,,,,,,
91,A13187201,5089901,16101979,0,0,,,,,,
92,A13187203,6643280,46512500,,,0,17659860,,,,
93,A13113008,,,0,0,0,0,15599029,50328140,,
94,A13113007,0,0,,,,,,,970060,26794830
95,A10025397,,,0,0,0,0,1012530,4253020,,
96,A10027297,,,,,,,,,,
97,A10027775,0,0,0,0,0,0,,,,
98,A10025137,,,0,0,,,,,,
