,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13120701,0,0,,,,,,,,
1,A13184401,,,0,0,0,0,,,,
2,A13183202,0,0,,,,,,,0,0
3,A13184301,,,,,0,0,,,0,0
4,A13183504,0,0,0,0,,,1294820,24916810,598030,9760560
5,A13183701,0,0,,,0,0,,,0,0
6,A13181203,0,0,0,0,0,0,,,,
7,A13120403,,,,,,,,,0,6949110
8,A13184107,,,,,,,10885335,24722280,0,10574590
9,A13183405,0,0,,,,,3287553,14014350,,
10,A13120704,,,,,0,0,,,918250,6695000
11,A13184502,0,0,0,0,,,,,0,0
12,A13183303,0,0,0,0,0,0,2049510,6539270,311720,3219040
13,A13120001,,,0,0,0,0,,,0,0
14,A13188406,0,0,,,,,,,,
15,A13177701,,,0,0,,,16928120,0,197800,0
16,A13183204,,,0,0,0,0,2766940,17120920,0,0
17,A13184208,,,0,0,0,0,,,,
18,A13183502,,,66300,0,,,2022720,9334660,,
19,A13181201,0,0,,,,,,,,
20,A13175103,0,0,0,0,0,0,,,,
21,A13175102,,,,,,,,,,
22,A10028033,0,0,0,0,0,0,5101940,14664380,90490,9474760
23,A10025159,,,,,0,0,,,-30500,7460950
24,A13120003,,,,,,,,,,
25,A10024703,0,0,,,,,6468070,16445030,,
26,A10023384,,,,,,,,,,
27,A10024443,0,0,,,,,3567110,0,0,0
28,A10024741,0,0,197140,0,,,29375640,60493990,82350,27128380
29,A10024366,,,,,,,,,,
30,A10023606,,,,,,,,,,
31,A13185602,,,0,0,,,,,1091700,7249400
32,A13185603,,,,,,,3021380,12851690,,
33,A13170401,,,,,,,6869778,24466520,0,9202850
34,A13186306,27513010,0,0,0,,,4812490,0,700000,0
35,A13186401,,,0,0,0,0,,,,
36,A13122104,0,0,0,0,0,0,27081188,0,,
37,A13186305,7527550,34692500,,,0,30717280,,,2420220,12310800
38,A13185607,,,,,,,2234710,49806860,,
39,A13122001,0,0,0,0,,,,,0,10736430
40,A13187501,,,,,,,571900,7123760,,
41,A13187702,0,0,1068320,0,0,0,,,,
42,A10026046,,,,,,,,,,
43,A13176801,,,,,0,0,,,0,5724250
44,A13114103,,,0,0,0,0,2647612,10269560,,
45,A13184804,0,0,0,0,0,0,2336180,9373290,,
46,A13184609,,,0,0,0,29122230,2448690,26426610,,
47,A13184610,,,,,,,11277100,49922140,386530,28208530
48,A13114106,,,,,0,0,,,9400050,8707110
49,A13185508,,,0,0,,,3911640,26893270,,
50,A13185501,,,,,0,0,,,,
51,A13185507,0,0,0,0,0,0,2635790,10922620,,
52,A13185502,0,0,0,0,0,0,1470760,6000410,,
53,A13114002,0,0,0,0,,,907226,25966610,500560,12111740
54,A13185402,,,,,,,2387478,9199900,0,0
55,A13114201,0,0,0,0,,,,,3792430,3788230
56,A10025855,0,0,,,,,,,0,25991090
57,A10025187,,,,,,,,,,
58,A10026469,0,0,0,0,,,27709618,0,,
59,A13123102,,,,,0,0,4448900,33154100,0,13266990
60,A13176102,,,167380,0,0,0,2034370,7195110,0,0
61,A13123002,,,,,,,,,,
62,A13123001,0,0,0,0,0,0,9126880,0,7715710,0
63,A13123101,0,0,,,0,0,,,3182390,0
64,A13176101,,,,,,,,,,
65,A10027498,,,,,,,,,,
66,A10023816,,,0,0,0,3264970,,,,
67,A10024008,,,,,,,,,,
68,A10024018,,,,,,,2526844,8155930,,
69,A10024214,25757250,0,,,0,17404590,,,,
70,A10023952,,,0,0,0,0,,,4487360,0
71,A13186801,0,0,0,0,0,0,,,-40,2678800
72,A13186503,,,0,0,,,,,0,0
73,A13176902,1362530,12263000,,,,,1510760,0,,
74,A13113002,,,,,,,1613631,12103770,-160,4973950
75,A13113006,-344390,342780,,,0,0,,,,
76,A13186905,0,0,,,0,311540,,,,
77,A13113001,,,0,0,,,,,-750,4332370
78,A13186502,,,,,0,0,3192320,6680040,18380,3479870
79,A13178101,,,0,0,,,16442986,45677680,2428850,15862110
80,A13176901,5687400,85938200,,,,,,,1914360,21636180
81,A13113003,20282680,28844440,,,,,5112420,17455570,1921150,8298110
82,A13187306,,,0,0,-940,21570660,6333860,0,,
83,A13186504,,,,,0,0,,,830,5309170
84,A13187406,0,0,337110,0,,,5876725,20771950,0,11978190
85,A13113004,7078920,71228700,0,0,,,8858180,25723480,,
86,A13187302,1829020,36451540,0,0,,,2839080,0,1520260,10052950
87,A13187305,,,0,0,0,20428800,6717033,24677400,,
88,A13186907,,,0,0,,,,,,
89,A13187004,,,,,0,0,,,,
90,A13186708,,,0,0,,,9298900,29209490,,
91,A13187201,,,,,0,28085000,,,,
92,A13187203,,,0,0,0,22227810,12760526,40696590,253550,18743550
93,A13113008,0,0,0,0,,,,,,
94,A13113007,0,0,0,0,,,31013720,61085630,1333650,30849900
95,A10025397,,,0,0,,,,,,
96,A10027297,,,,,,,,,,
97,A10027775,0,0,,,0,0,3284120,1084570,826710,630540
98,A10025137,,,0,0,7490370,0,6642850,0,0,0
