,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
92,A12125202,7704940,119392310,0,0,0,36127000,7789454,38487700,-1002020,16793570
93,A10027157,0,0,160440,0,0,0,2807370,4069380,240980,1890010
94,A12187901,0,0,0,0,0,0,2784130,6087220,-110,3793280
95,A12187906,0,0,0,0,0,0,32092740,0,10462630,0
96,A12187904,2054120,69815930,0,0,0,6583200,2033460,16455040,3422390,0
97,A12187703,0,0,0,0,0,0,1669020,13411340,58140,5355100
98,A12187905,0,0,150870,0,0,0,4204790,24082100,1202200,9019370
99,A12187902,0,0,0,0,0,0,4111483,11790340,0,0
100,A12127007,9975670,56511860,0,0,0,27624000,753210,19804340,342940,9799740
101,A12127004,2054760,85044780,0,0,0,20739050,10867913,21581250,317650,11820060
102,A12127005,0,103914430,0,0,0,15658500,3722026,42066000,391250,13829210
103,A12127003,26866570,64747950,0,0,-18340700,18340700,10624400,21180170,264440,10249700
104,A12127001,2296770,64716880,0,0,0,15908060,8801550,24355600,61510,8457510
105,A12127006,20565130,90280300,0,0,0,31262000,27337069,35832770,-8420,14248000
106,A12179508,8752450,84959200,0,0,0,16272000,9346070,36742230,2604760,13972000
107,A12179504,29120440,100333730,0,0,-33420810,33317580,14505460,37404620,243160,32928530
108,A12179503,27435490,47784590,0,0,-25807320,25745580,10332130,22060340,54560,10470860
109,A12127002,2766140,74912280,0,0,0,14741220,11846730,23410670,0,11063460
110,A12179502,1257360,7413160,0,0,0,6090000,3354900,10458140,0,4163330
111,A12127008,35503640,60507400,0,0,-28109550,28023100,9088410,20500740,329450,10712750
112,A12179501,536576,13094910,0,0,0,2893400,2091550,5355390,219220,2162310
113,A12179505,547350,39920390,0,0,-512400,13122230,6032220,14986010,62550,7103200
