,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13679903,0,0,0,0,0,0,1824910,13560490,0,5623530
1,A13606002,0,0,0,0,0,0,4412204,13465320,0,6705250
2,A13606101,0,0,0,0,0,0,3275860,16543340,0,0
3,A13606003,0,0,0,0,0,0,8361907,28687180,90400,14542280
4,A13606106,0,0,0,0,0,0,934918,12098830,1538580,7155550
5,A13681303,0,0,0,0,0,0,1073285,24289080,0,21340570
6,A13606105,0,0,0,0,0,0,593519,5005510,0,2741710
7,A13606107,0,0,0,0,0,0,14007316,46687320,2100,23778620
8,A13679902,0,0,0,0,0,0,2033565,7326110,0,3880500
9,A13606005,-139920,-355080,49920,0,-133000,2779000,379575,7834710,585710,5317690
10,A13606201,0,0,24290,0,0,0,5582862,47821310,34600,21163870
11,A13606102,15590,0,0,0,0,0,3217720,15604890,0,0
12,A13681304,0,0,0,0,0,0,1818050,14932020,510450,9115450
13,A10027350,,,,,,,,,,
14,A10027227,0,0,19190,0,0,0,5305132,35315070,0,11344360
15,A13606004,0,0,0,0,2646000,53805500,32825845,141702180,642730,88157380
16,A10028001,0,0,0,0,0,0,1613160,16822440,-225730,7990020
17,A10025140,,,,,,,,,,
18,A13603401,0,0,1840,0,0,0,2974363,8934520,213900,6125500
19,A13603701,0,0,0,0,0,0,3936480,14361290,38720,8426120
20,A13603702,0,0,0,0,0,0,2658940,9366670,0,4250210
21,A13672101,0,0,0,0,0,0,5433830,40128810,0,17512620
22,A13672102,0,0,16250,0,0,0,870520,17283360,-270,7564320
23,A13604301,0,0,0,0,0,0,1013660,4859500,142140,3398680
24,A13670801,0,0,0,0,0,0,6553440,21854170,107040,9347790
25,A13604401,0,0,0,0,0,0,97040,18559970,-100,7614200
26,A13607101,24930,0,0,0,0,0,5156663,17034210,800240,10222970
27,A13607301,0,0,0,0,0,0,1205712,7602530,0,0
28,A13607302,0,0,0,0,0,0,0,6925910,0,4159650
29,A13608601,0,0,0,0,0,0,1020260,8128270,46840,4244400
30,A10027189,0,0,0,0,0,0,14203934,43974820,-20283430,20201750
31,A10023669,0,0,0,0,0,0,28010830,0,0,0
32,A13608301,0,0,7380,0,0,0,442070,18914290,0,7623480
33,A13677401,0,0,0,0,0,0,6749500,21468050,700810,8636790
34,A13676501,0,0,0,317960,0,0,1020375,7950090,0,3775180
35,A13610007,0,0,0,0,0,0,17771405,66775357,0,37172260
36,A13685104,0,0,12340,0,0,0,3820856,16999950,0,0
37,A13684306,0,0,0,0,0,0,7810485,24636220,0,15390110
38,A13684701,0,0,0,0,0,0,1998120,7404030,0,0
39,A13677101,0,0,0,0,0,0,5338330,24343460,240630,10558310
40,A13677206,0,0,0,0,0,0,5475124,24906030,0,0
41,A13610003,0,0,0,0,0,0,3283850,8337630,67340,5255190
42,A13610001,0,0,0,0,0,0,1980935,6615240,0,0
43,A13684605,0,0,0,0,0,0,5034567,16204440,0,10735630
44,A13676605,0,0,0,0,0,0,4194739,14258640,0,8982780
45,A13610004,0,0,0,0,0,0,5602590,4906570,6263270,6503390
46,A13677807,0,0,0,0,0,0,3306500,9496778,0,0
47,A13610107,0,0,0,0,0,0,2039450,32377320,-1401300,31594430
48,A13610202,0,0,140320,0,0,0,1321975,18681300,-63300,7896320
49,A13610301,0,0,0,0,0,0,2892830,8592460,0,0
50,A13610103,0,0,0,0,0,0,1139945,14432090,0,7692450
51,A13676504,0,0,0,0,0,0,3855250,13631590,0,7046850
52,A13676703,0,0,0,0,0,0,6438999,31028970,2308490,13144990
53,A13676702,0,0,0,0,0,0,5010123,19944940,0,0
54,A13610005,0,0,25540,0,0,0,5868280,18803650,-162760,10316510
55,A13610201,1100,0,0,0,0,0,-223150,9271430,0,3597790
56,A13676704,0,0,0,0,0,0,1408090,4643590,-723450,3395200
57,A13610102,0,0,0,0,0,0,5221990,11486960,0,4902410
58,A10028000,0,0,0,0,0,0,1630890,16230570,279050,5195780
59,A13611202,0,0,0,0,0,0,11160802,45599680,-16970,22744110
60,A13611011,0,0,0,0,0,0,24519324,59043260,0,19566970
61,A13611201,0,0,0,0,0,0,7992180,26684200,35000,11191400
62,A13611005,0,0,0,0,0,0,3496754,46586760,455700,17729630
63,A13611007,0,0,0,0,0,0,17560420,89932440,1863150,43684110
64,A13611006,0,0,0,0,0,0,5144363,80689980,0,34198940
65,A13680701,0,0,0,0,0,0,1211822,7656860,0,0
66,A13611103,0,0,0,0,0,0,4023900,47746050,-7080,21799500
67,A13679403,0,0,0,0,0,0,4719266,24929250,0,9198280
68,A13611002,0,0,16990,0,0,0,-2387470,7633470,293340,2572140
69,A13611004,0,0,0,0,0,0,918540,25668430,0,0
70,A13611010,0,0,0,0,0,0,1099410,1890630,0,1319160
71,A13611009,0,0,0,0,0,0,544690,1219040,-30320,850760
72,A13611001,0,0,0,0,0,0,787184,3476840,0,2262400
73,A13611102,0,0,0,0,0,0,199549,4416520,0,2187640
74,A13611008,0,0,0,0,0,0,28804864,80926630,0,31862230
75,A13679402,0,0,0,0,0,0,1787780,4219350,0,2556470
76,A13606006,,,,,,,,,,
77,A10025638,0,0,0,0,0,0,18681390,110738090,1563670,34619600
78,A13611012,0,0,0,0,0,0,48820,1404230,0,1000000
79,A10023926,0,0,0,0,0,0,40170830,91984440,1169190,27823670
80,A10025753,0,0,0,0,0,0,7529350,21281610,1027830,6874640
81,A13671204,0,0,0,0,0,0,5817400,36308590,405410,15991790
82,A13671210,0,0,0,0,0,0,584130,5265130,0,3753480
83,A13671209,0,0,0,0,0,0,13255122,46724170,2931630,18071760
84,A13671212,0,0,32240,0,0,0,1456132,4731600,2380,2581300
85,A13671203,0,0,0,0,0,0,1685480,7413930,123760,4128790
86,A13671207,0,0,0,0,0,0,3201290,10322080,0,5790550
87,A13671208,0,0,0,0,0,0,3877424,42998750,2050,18193260
88,A13671205,0,0,0,0,0,0,16003192,46890560,0,28406670
89,A13671213,0,0,21530,0,0,0,4942284,17748820,65970,7174040
90,A13671206,0,0,0,0,0,0,2422550,19058500,-125370,10807160
91,A13686302,0,0,0,0,0,0,3824227,50988120,0,23865910
92,A13671211,0,0,10640,0,0,0,1307139,3665530,0,2250390
93,A10024603,,,,,,,,,,
94,A13613005,0,0,0,0,0,0,2484050,26451950,-921730,13787720
95,A13613001,0,0,0,0,0,0,8386640,0,0,0
96,A13613201,0,0,0,0,0,0,2917563,11484020,0,13734530
97,A13613003,0,0,0,0,0,0,907470,3719260,129620,3398320
98,A13613010,0,0,0,0,0,0,11766310,0,5868150,0
99,A13613009,0,0,0,0,0,0,7855770,25587410,0,15775010
100,A13613008,0,0,0,0,0,0,22349826,88599140,-3644860,46136180
101,A13613007,0,0,0,0,0,0,6070942,65105470,845760,29023040
102,A13613002,0,0,0,0,0,0,5178240,0,2399970,0
103,A13613006,0,0,0,0,0,0,10970002,32185150,0,16496510
104,A13612001,1100,0,0,0,0,0,1395190,7089480,0,0
105,A13612002,0,0,0,0,0,0,5328836,43757510,354990,26629700
106,A13678401,0,0,0,0,0,0,227100,5231780,11170,3032880
107,A13614001,0,0,0,0,0,0,6219426,29893570,0,12330620
108,A13614301,0,0,0,0,0,0,845060,5536200,540050,3188970
109,A13614302,0,0,0,0,0,0,16561003,0,8382350,0
110,A10026571,0,0,0,0,0,0,530440,22202790,543290,7690060
111,A10025461,0,0,0,0,0,0,12796410,41490760,2260530,14076110
112,A10025245,0,0,0,0,0,0,32449691,74122070,1214370,23215830
113,A10024702,,,,,,,,,,
114,A10024488,0,0,0,0,0,0,20794209,99488600,3567940,25247850
115,A13615003,0,0,0,0,0,0,4596970,77862310,-1914290,40750860
116,A13676103,0,0,0,0,0,0,1742010,9387060,-30,4243800
117,A13681701,0,0,0,0,0,0,1799684,8234160,0,0
118,A13676101,0,0,0,0,0,0,2840312,26343180,-675240,13200370
119,A13676102,0,0,0,0,0,0,805770,1019910,-61720,680570
120,A13615002,0,0,20320,0,0,0,4290860,12998380,-200,8055630
121,A10025283,0,0,148120,0,0,0,13082766,60740480,818110,16656900
