,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
94,A15210104,0,0,0,0,0,0,1817861,7813920,0,0
95,A15210102,0,0,0,0,0,0,1930970,6405550,0,3770560
96,A15210103,0,0,0,0,0,0,1382990,6941000,-6990890,6990890
97,A15210206,0,0,0,0,0,0,1431530,8390360,0,0
98,A15210105,0,0,0,0,0,0,2532630,7425900,461350,4261960
99,A15210107,0,0,0,0,0,0,10168860,42628170,0,0
100,A15210211,0,0,0,0,0,0,5683650,21009510,0,13489070
101,A15210106,0,0,0,0,0,0,0,13225210,-4260,5783300
102,A15210212,0,0,0,0,0,0,5983540,25801950,0,12539720
103,A15278301,0,0,0,0,0,0,132920,4334500,0,0
104,A15210210,0,0,0,0,0,0,19290300,0,7934350,0
105,A15210209,0,0,0,0,0,0,1224390,17419230,-410,7015850
106,A15210207,0,0,0,0,0,0,1466560,11551140,0,6115700
107,A10026434,0,0,0,0,0,0,2477150,12348360,1619900,7825700
108,A10027522,,,,,,,,,,
109,A15279101,0,0,0,0,0,0,9361400,39676610,0,18795230
110,A15210001,45050,0,0,0,0,0,5258618,18271010,235340,9159450
111,A15213006,331310,0,0,0,0,0,1697850,11318940,0,5003120
112,A15213004,531660,0,0,0,0,0,603073,19269880,134940,8790170
113,A15213005,0,0,0,0,0,0,3061890,40553630,400120,17779390
114,A15213002,153420,0,0,0,0,0,865400,30167280,345100,12887100
115,A15213007,0,0,0,0,0,0,3343480,45812580,370740,20687600
116,A15213001,292870,0,0,0,0,0,-63080,23505360,0,11239830
117,A10027764,0,0,188960,0,0,0,4341310,0,1942400,0
118,A10026729,0,0,151480,0,0,0,899020,1738280,0,0
119,A10026039,0,0,0,0,0,0,148670,3485320,0,2534810
120,A15213003,0,0,0,0,0,0,412430,20406000,0,8242820
121,A15271601,0,0,0,0,0,0,2335661,10299010,885800,4590670
122,A10025614,4141070,5384120,0,0,0,27663460,9015880,37910010,0,20508130
123,A10025386,3716550,779940,0,0,0,0,1263140,2866680,0,1850100
124,A10025387,2798660,2975930,780030,0,0,12852000,6069660,22916460,-2000,9991980
125,A10025858,7078150,1352700,0,0,-6353600,6353600,2779860,8180730,191060,4417420
126,A10025564,1155080,828450,0,0,0,3250400,1044620,3209570,158880,2062200
127,A10024849,1852740,2016110,0,0,0,9071330,908409,13922920,35520,6805610
128,A10024927,2376450,2807040,0,0,0,7632760,3010660,14390110,53140,6393770
129,A10025115,3053860,3613980,0,0,0,8953600,6201660,18717780,6300,7735150
130,A10025193,3818760,4499870,0,0,0,13962630,4259500,22966000,0,13573060
131,A10025302,768596,1273680,0,0,738544,6071270,1944890,8213060,70480,4815110
