,kaptCode,Complex_Name
88,A10024244,서울휘경행복주택
89,A10023368,회기역 하트리움
90,A10024082,이문휘경지웰에스테이트
91,A10025015,휘경 해모로 프레스티지 아파트
92,A13082702,이문대우1차
93,A13082703,이문현대
94,A13076801,이문삼성래미안아파트
95,A13082502,이문중앙하이츠빌
96,A13083102,래미안이문2차
97,A13079401,대림아파트201동
98,A13082704,이문쌍용
99,A13008001,신이문금호어울림
100,A13079402,이문현대임대
101,A13079403,이문쌍용임대
102,A13082805,이문e-편한세상
103,A13082501,이문삼익아파트
104,A10026322,이문KCC웰츠타워
105,A10024594,이문2차푸르지오아파트
0,A15605103,신동아리버파크
1,A15676701,신동아리버파크제2관리사무소
2,A15605002,노량진우성
3,A15605003,노량진쌍용예가
4,A15605001,노량진삼익
5,A15603205,상도건영
6,A10023966,어바니엘한강
7,A10024524,더클래식동작
8,A15603401,상도경향렉스빌
9,A15603002,브라운스톤상도
10,A15603008,힐스테이트상도프레스티지
11,A15603003,상도건영제2 관리사무소
12,A15683601,상도1동대림
13,A15603004,상도sh-ville
14,A15603206,상도더샵
15,A15603502,래미안상도2차
16,A15603006,래미안상도3차
17,A15671801,상도두산위브
18,A15683901,상도쌍용
19,A15678101,상도현대
20,A15683402,상도동중앙하이츠빌아파트
21,A15603204,상도래미안1차
22,A15678103,힐스테이트상도센트럴파크
23,A15603001,상도동원베네스트
24,A15603203,아이파크상도동
25,A15603009,상도더샵2차
26,A15603007,상도래미안1차제2
27,A15678102,상도삼호
28,A10027472,상도효성해링턴플레이스
29,A10027633,상도2차 두산위브트레지움 아파트
30,A10027614,상도 휴엔하임 도시형생횔주택
31,A10025768,이편한세상 상도노빌리티
32,A10027424,상도파크자이 아파트
33,A10024777,상도동 롯데캐슬 비엔
34,A10024365,상도역롯데캐슬파크엘
35,A15606006,본동한신휴플러스제2
36,A15606002,유원강변
37,A15606007,래미안트윈파크
38,A15606001,경동윈츠리버
39,A15605102,본동한신휴플러스
40,A15606004,본동신동아
41,A15676702,본동SH-ville
42,A15606003,본동삼성래미안아파트
43,A15606005,한강쌍용
44,A10026873,극동강변아파트
45,A15679103,우리유앤미
46,A15679109,흑석한강센트레빌2차
47,A15679104,흑석청호
48,A15679108,흑석한강푸르지오
49,A15607001,흑석동양
50,A15679105,명수대현대아파트
51,A15685702,흑석한강현대
52,A15679107,흑석한강센트레빌
53,A15679106,흑석해가든
54,A10025770,아크로 리버하임
55,A10025867,흑석롯데캐슬에듀포레
56,A10023350,흑석자이
57,A15608002,동작금강KCC
58,A15608003,이수힐스테이트
59,A15608001,이수교스위첸
60,A10025175,신동아갯마을아파트
61,A10023898,이수스위첸포레힐즈아파트
62,A15609305,사당롯데캐슬샤인
63,A15609003,사당휴먼시아
64,A15681802,사당현대아파트
65,A15677204,사당신동아4단지
66,A15609502,사당자이
67,A15609303,사당경남아너스빌
68,A15609001,사당유니드
69,A15681501,사당4-3우성
70,A15609401,사당삼익그린뷰
71,A15609002,사당삼호그린
72,A15681503,사당극동
73,A15609005,사당 대림아파트
74,A15681502,사당우성2단지
75,A15609301,사당롯데캐슬
76,A15677501,남성두산위브트레지움
77,A15609501,사당제일
78,A15609006,신동아5
79,A15609007,이수역리가
80,A15609306,사당동작삼성래미안아파트
81,A10026299,래미안로이파크아파트
82,A15609008,사당대아2차
83,A10027495,이수자이 주상복합
84,A10026025,사당갑을명가아파트
85,A10024642,사당진흥아파트
86,A10024811,남해오네뜨아파트
87,A10025013,사당롯데캐슬골든포레
88,A10024245,이수푸르지오더프레티움
89,A15681103,대방우정
90,A15681106,대방현대1차
91,A15681104,대방2차현대
92,A15602007,대방1차e편한세상
