,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A14322001,0,0,0,0,0,0,932450,6992700,0,0
1,A14322002,,,,,,,,,,
2,A14320001,0,0,2880,0,0,0,1796350,7728950,626810,4757010
3,A14383205,0,0,0,0,0,0,6817400,61311800,5873670,32097600
4,A14320302,0,0,0,0,0,0,2234740,14221480,0,0
5,A14383203,0,0,0,0,0,0,87120,16607150,615300,0
6,A14320304,-112550,21445490,0,0,0,21731500,9916180,70233020,2347800,26029450
7,A14320004,,,,,,,,,,
8,A14382101,0,0,0,0,0,0,4686084,17710570,0,5135530
9,A10026874,0,0,0,0,0,0,4523550,9452470,148280,3790680
10,A10024667,,,,,,,,,,
11,A10025985,0,0,13800,0,0,0,18930028,37722560,749890,14130840
12,A10023951,0,0,0,0,0,0,51352028,0,0,0
13,A14381512,0,0,0,0,0,0,4738839,17409150,0,13009300
14,A14380605,0,0,0,0,0,0,4201490,15434410,767850,5878170
15,A14380414,19830330,0,0,0,-11577500,11577500,10479550,39925550,9069440,0
16,A14381508,0,0,0,0,0,0,4349249,15691690,11270,9535170
17,A14375301,0,0,0,0,0,0,12907975,35478890,129460,10457630
18,A14381415,0,0,0,0,0,0,8999433,36748180,0,21561730
19,A14380211,583089,0,0,0,0,11527296,14963381,44580260,897460,13136570
20,A14381516,0,0,41700,0,0,0,2995449,51189310,0,25533250
21,A14375302,0,0,0,0,0,0,12768160,15554870,2848060,2909340
22,A14381513,0,0,5790,0,0,0,7321300,18689590,0,0
23,A14380409,8065275,1428640,0,0,0,3749600,3611935,22993040,2677080,1806000
24,A14381510,0,0,0,0,0,0,26446500,0,11609780,0
25,A14381506,0,0,0,0,0,0,2770935,10616640,1253720,7084880
26,A14381504,0,0,0,0,0,0,3080880,10299720,0,5252850
27,A14381407,0,0,0,0,0,0,4793969,14717220,13530,7574850
28,A14375303,,,,,,,,,,
29,A10026162,0,0,0,0,0,0,2893700,6663890,149210,3611710
30,A10023281,,,,,,,,,,
31,A14319307,0,0,0,0,0,0,1683570,10789290,458160,6175140
32,A14386802,0,0,0,0,0,0,802915,8044010,0,4676120
33,A14319201,0,0,0,0,0,0,1342210,7963640,0,0
34,A14319204,0,0,0,0,0,0,906300,17856070,248800,0
35,A14319002,0,0,0,0,0,0,1452510,4872170,0,3818600
36,A14386110,0,0,0,0,0,0,3848320,15627170,-166480,8744050
37,A14377402,0,0,0,0,0,0,4382620,20706470,-350,5635340
38,A14319203,0,0,0,0,0,0,4655850,12206820,90,5220170
39,A14319005,0,0,0,0,0,0,2080474,6668020,170340,0
40,A14319010,0,0,0,0,0,0,3648226,11615470,0,13113310
41,A14319303,0,0,10170,0,0,0,12324010,577500,10369720,0
42,A14376501,0,0,0,0,0,0,480300,9086410,-121320,3808430
43,A14319007,13200,0,0,0,0,0,2820544,9173310,0,0
44,A14319003,0,0,48480,0,0,0,1796340,6177890,0,0
45,A14319011,0,0,0,0,0,0,20873781,18297170,0,0
46,A14319301,0,0,0,0,0,0,2217860,6596790,19600,6471530
47,A14388208,0,0,0,0,0,0,534310,13875820,-1830,7947970
48,A14319008,0,0,0,0,0,0,2546470,9988390,0,5912680
49,A14387605,0,0,2170,0,0,0,3427907,17625590,975890,9868730
50,A14388204,0,0,0,0,0,0,1042960,10073270,0,5515170
51,A14319302,0,0,0,0,0,0,2238330,6495680,24850,4448640
52,A14319001,0,0,0,0,0,0,1556070,5130490,0,0
53,A14319006,0,0,0,0,0,0,2629110,7191700,145700,4966000
54,A14319306,0,0,0,0,0,0,5670130,17981280,292300,4877880
55,A14375801,,,,,,,,,,
56,A14319009,0,0,0,0,0,0,3067960,10309390,437920,0
57,A14319311,0,0,0,0,0,0,581520,25856950,0,13104750
58,A14386109,0,0,0,0,0,0,1769094,10523090,1006480,5935150
59,A10026720,0,0,0,0,0,0,3419360,17596740,279440,4911480
60,A10023336,,,,,,,,,,
61,A10024154,,,,,,,,,,
62,A14319013,,,,,,,,,,
63,A10024132,0,0,0,0,0,0,4055130,9817500,0,3271830
64,A10023282,,,,,,,,,,
65,A14313001,0,0,0,0,0,0,2584390,9448850,67950,0
66,A14383901,0,0,0,0,0,0,2203460,0,334640,6853240
