,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
119,A13920102,,,0,0,0,0,531170,7918030,,
120,A13989701,0,0,,,,,5160450,22874710,,
121,A13920803,2016180,0,,,0,21822000,4578120,63999700,,
122,A13994302,,,0,0,,,,,2141430,0
123,A13983713,6093063,0,,,,,,,,
124,A13983709,0,0,,,,,,,,
125,A13981606,,,0,0,,,,,,
126,A13981304,1087080,0,0,1287000,,,0,12490840,349000,0
127,A13983803,0,0,,,0,0,2094460,9303730,,
128,A13980903,,,,,0,0,,,,
129,A13982702,,,,,,,,,10960,10729060
130,A13983816,,,,,0,9118800,10547560,32844970,34450,21688050
131,A13981001,0,0,0,0,,,207800,2759350,-70,1691830
132,A13982005,,,0,0,,,,,422045,0
133,A13974101,,,,,1776550,2611210,3637027,19350340,,
134,A13982704,6177910,331500,0,0,,,,,4654450,0
135,A13982202,,,0,0,0,17555670,,,,
136,A13982101,,,0,0,,,,,3484360,0
137,A13920207,,,,,0,0,2610436,17958500,0,9211130
138,A13981903,,,0,0,,,,,,
139,A13983101,40080,227770,,,,,194800,2657630,,
140,A13920506,,,0,0,0,15767500,,,4211420,19741170
141,A13920703,0,0,21760,0,0,0,421240,0,,
142,A13920202,,,0,0,0,0,,,,
143,A13981006,,,0,0,0,0,5344004,21660340,106790,13745050
144,A13983811,3184970,954380,,,0,6547500,1422812,25657240,0,7994450
145,A13971502,6378830,0,0,0,,,,,633280,29074110
146,A13989702,0,0,0,0,,,,,-10940,2049440
147,A13920104,0,0,,,0,0,,,-127770,5261150
148,A13983801,,,,,0,0,,,,
149,A13973201,,,,,,,,,,
150,A13981204,0,0,,,0,0,,,,
151,A13983004,,,,,0,20448480,,,,
152,A13920501,,,,,,,,,0,0
153,A13920802,,,0,0,0,17436000,,,6369530,19286220
154,A13981208,0,0,,,0,0,27049340,27034520,15476080,15469030
155,A13983105,,,0,0,,,,,1030900,0
156,A10027601,,,,,,,4745420,16355890,26640,8587870
157,A10025133,,,0,0,,,,,,
158,A10027533,,,,,,,,,,
159,A10024547,0,0,,,,,15020050,56019350,0,20344010
160,A10024770,,,,,,,,,,
161,A10024434,,,,,,,,,,
162,A13985402,0,0,0,0,,,,,251920,0
163,A13985907,0,0,0,0,,,,,,
164,A13985605,,,,,,,5206440,3959550,0,10071340
165,A13986207,,,,,,,,,,
166,A13985904,,,,,,,244650,12919360,223120,4867770
167,A13922406,,,0,0,,,,,,
168,A13922105,,,,,,,623280,4236430,319540,1913980
169,A13922001,,,,,,,0,0,0,0
170,A13986606,,,0,0,,,,,250625,0
171,A13922102,,,0,0,,,2498850,9170590,,
172,A13986004,,,,,,,1271860,0,1928080,5594190
173,A13986013,2196330,46216510,0,0,,,,,6215505,0
174,A13985909,0,0,,,,,,,,
175,A13922907,,,,,,,,,586480,0
176,A13922903,,,0,0,,,-980083,23903300,,
177,A13922103,,,0,0,,,4481030,8217500,,
178,A13986509,,,0,0,,,2725110,6953800,,
179,A13922910,,,0,0,,,2811320,0,,
180,A13972601,2730850,0,0,0,,,4518557,23125700,,
181,A13986302,2013750,277340,,,,,,,29881620,27112050
182,A13985908,0,0,0,0,,,3555310,9105520,1503340,91040
183,A13922909,,,0,0,,,2165420,0,796220,0
184,A13922114,,,,,,,8513041,61358380,,
185,A13986111,,,,,,,66883845,0,,
186,A13986701,,,-258540,260430,,,,,,
187,A13922111,,,0,0,,,3392190,0,2070660,0
188,A13922908,,,0,0,,,,,611800,9901010
189,A13993001,,,,,,,,,,
190,A13972603,,,,,,,,,,
