,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
0,A13991017,0,0,0,0,0,0,2102158,10754650,636490,3922280
1,A13905208,31896240,0,0,0,-5352500,5352500,2880620,0,1402750,6432300
2,A13905202,110250,0,0,0,0,0,12634200,0,5150270,0
3,A13985107,1226080,13525470,0,0,0,9793300,3563050,0,-103810,7254760
4,A13984604,0,0,0,0,0,0,6389790,26830210,500000,0
5,A13984411,5801090,19444100,0,0,0,4230200,3979400,0,-28070,9953510
6,A13905102,0,0,0,0,0,0,3054350,8122470,213760,0
7,A13984603,0,0,0,0,0,0,2671315,9787440,2525850,10657040
8,A13905204,21190170,0,0,0,4027500,0,2362570,0,6309910,0
9,A13985201,0,0,0,0,0,0,9210248,0,19800,0
10,A13985106,9985060,26029920,0,0,-9542400,9542400,5111140,0,369470,10162730
11,A13984813,73071260,0,0,0,0,20868000,8988520,0,0,0
12,A13987501,0,0,0,0,0,0,2253995,5755490,0,3239030
13,A13905105,0,0,0,0,0,0,16948912,44240300,1134650,22644220
14,A13987503,0,0,0,0,0,0,783492,7315100,0,3454980
15,A13984814,0,0,0,0,0,0,7762280,0,0,0
16,A13984004,0,0,0,0,0,0,12001110,139208040,2481730,62219940
17,A13991016,0,0,54630,0,0,0,1245490,9174350,0,4625450
18,A13985103,4757460,19609580,0,0,0,6803400,7527620,17247950,976100,6540990
19,A13985105,751170,11791660,0,0,0,7059200,3103050,0,86110,6846470
20,A13984409,7143650,16765580,0,0,-7915940,7915940,3552630,0,2204230,0
21,A13984003,-246710,53624900,0,0,0,15102450,4419500,26951990,1111240,0
22,A13995602,2876760,0,0,0,0,0,0,0,1676070,0
23,A13905003,0,0,0,0,0,0,5657370,19132690,2860,10192620
24,A13905301,0,0,0,0,0,0,2248170,10062440,690,4986470
25,A13987502,0,0,0,0,0,0,2334040,8839320,14420,4731500
26,A13991018,0,0,0,0,0,0,8976730,37609490,-360,15972470
27,A13905302,4492960,17737880,0,0,0,6660000,3977550,0,2140465,0
28,A13991015,0,0,0,0,0,0,1650030,5646380,613820,2289370
29,A13905101,0,0,0,0,0,0,-8245570,7927970,0,3595470
30,A13984005,23033670,48131900,0,0,0,53886000,20651040,105937360,3632970,52023080
31,A10027121,0,0,0,0,0,0,3822982,12253420,108820,4601880
32,A10027716,0,0,0,0,0,0,5474563,22542420,97250,9069900
33,A10025097,0,0,210280,0,0,0,53108180,0,16830990,0
34,A10024636,,,,,,,,,,
35,A10024812,,,,,,,,,,
36,A13980513,0,0,0,0,0,0,2811113,66453380,1108600,31266610
37,A13924003,0,0,0,0,0,0,6125820,19941510,0,9976650
38,A13994501,0,0,0,0,0,0,2785975,6704050,110360,0
39,A13980801,0,0,0,0,0,0,955887,5815790,-8970,2268630
40,A13980010,1703960,15519510,-815450,803070,0,15000000,9014460,15927190,56130,8718570
41,A13980415,0,0,0,0,0,0,29295640,23117590,9134650,9130900
42,A13980018,1438480,24540270,0,0,0,10860000,8828920,16490330,89250,11269820
43,A13980107,0,0,0,0,0,0,3922020,17019070,53840,7512960
44,A13980509,6606200,12027920,0,0,-6864750,6864750,3096280,0,3576170,5125500
45,A13980009,0,0,127230,0,0,0,1316870,15659060,41900,0
46,A13980014,15339030,37035100,0,0,-17256000,17256000,5380650,29244020,3662670,9133460
47,A13980012,2288310,25555540,0,0,0,7432550,5166790,17771680,150610,9978390
48,A13924004,0,0,0,0,0,0,6483733,28018170,356130,15215990
49,A13980510,641930,13797630,0,0,0,6897000,2968730,0,277000,7164360
50,A13924205,0,0,58120,0,0,0,2642920,9597020,0,5610010
51,A13980102,0,0,0,0,0,0,694492,5457930,-6710,2680500
52,A13980604,0,0,0,0,0,0,1549702,7607320,0,3516060
53,A13980413,0,0,0,0,0,0,1045388,8988860,84950,3984760
54,A13980511,3161340,14198600,0,0,0,10012000,6060570,0,-21300,10384340
55,A13980105,0,0,0,0,0,0,10017960,0,3464170,0
56,A13980402,21330,0,0,0,0,0,2861270,9023410,0,4379030
57,A13980108,0,0,72210,0,0,0,3019470,12437880,260640,7088580
58,A13980407,1115400,18676070,0,0,0,6102400,1357160,13908830,332590,1195950
59,A13980803,0,0,0,0,0,0,1247033,5561280,120,3156480
60,A13980004,7908400,12375590,0,0,-6177600,6177600,4474420,12370670,0,5618260
61,A13980706,0,0,0,0,0,0,902468,8077370,251940,3815590
62,A13980403,0,0,0,0,0,0,1767715,8165510,540,4043350
63,A13980401,0,0,0,0,0,0,10129100,0,4286540,0
64,A13980017,-12382720,15784070,0,0,-6066770,6473600,-2798270,9311990,9727180,2714680
65,A13980512,-15988440,23468510,0,0,0,12646600,0,0,445100,0
66,A13980411,0,0,0,0,0,0,2561310,18740220,0,9318880
67,A13980019,4054610,43631800,0,0,0,33926400,6585080,49701850,160,21665950
68,A10026289,,,,,,,,,,
69,A13980006,1867530,12865620,0,0,0,5142000,6269396,10998870,-470,6326480
70,A10023991,0,0,0,0,0,0,26172990,66844950,1454400,20993830
71,A10023990,0,0,0,0,0,0,3686990,4430470,3200,1766570
72,A13987305,15583360,25622200,0,0,10043280,23483790,16601570,56147960,1660830,20231470
73,A13987303,139570140,0,0,0,-630,28630860,13246341,49018280,-350100,27783300
74,A13993502,-50,26569290,0,0,0,12558000,7332270,28515620,-169480,10599430
75,A13923104,18512780,25075180,0,0,-11901600,11896200,6228931,24712690,0,14446290
76,A13923106,7738987,29224499,0,0,0,21066500,3610562,32672440,627475,11848340
77,A13923102,0,0,0,0,0,0,3746130,10140590,210,10845420
78,A13987304,114036150,0,0,0,0,24585600,9785853,38053920,2070000,0
79,A13977913,0,28507440,0,0,0,27483000,1566693,0,0,322640
80,A13987205,0,0,27590,0,0,0,1055760,32155120,408800,15460490
81,A13923108,-820,61631950,0,0,-386760,16469200,3174804,28137530,1495130,0
82,A13993901,0,9131850,0,0,0,1950270,2221080,8215550,1954300,3192820
83,A13987301,14522760,14521380,0,0,3279000,3279000,818787,6824367,0,2498320
84,A13987302,331300,17181720,0,0,0,9109800,-1249550,7826730,0,0
85,A13987306,14990460,48243390,0,0,0,38604000,20121276,65141580,650520,0
86,A13993503,3005190,13008000,0,0,0,8851200,3319723,18689080,114737,2904300
87,A13993501,0,0,0,0,0,0,22076544,0,9098240,0
88,A13923103,4813050,21792500,0,0,4078200,8933200,4080722,25038010,1230838,0
89,A10026660,,,,,,,,,,
90,A13983810,4726070,29034780,0,0,0,4575000,6088510,22755350,233680,9157350
91,A13973202,,,,,,,,,,
92,A13974103,13072913,19988100,-580490,565150,-13069000,13016500,-2526,18663220,-980,8186750
93,A13983712,4748540,20185580,0,0,0,7057750,4427034,19475690,-128400,11105760
94,A13920804,12614425,68175735,0,0,0,32939200,21988245,68971870,10000000,0
95,A13920106,0,0,66800,0,0,0,1287050,11736830,304340,9915800
96,A13981608,0,0,0,0,0,0,2948220,21689830,0,9809410
97,A13920707,25187920,52416930,0,0,0,47240000,19073344,64317020,11633725,0
98,A13920209,0,0,213550,0,0,0,40275890,0,15127440,0
99,A13981402,0,0,0,0,0,0,3212719,9162500,-10,4398250
100,A13982701,3187490,19477740,0,0,0,7864500,8968800,19324230,1064580,8190520
101,A13920205,0,0,0,0,0,0,1885130,13441290,-260,7028920
102,A13920001,0,0,0,0,0,0,4329920,13721560,0,11284030
103,A13982301,10084710,44010180,0,0,0,38795400,20754364,54939030,390235,0
104,A13983815,7020390,33101300,1120,0,0,18432000,8531627,33303410,0,19347520
105,A13981604,0,0,0,0,0,0,2352870,11793480,51800,4879380
106,A13981407,0,0,0,0,0,0,4548950,21551280,0,12306650
107,A13921005,24031862,67339500,0,0,10659825,36532470,9404616,84399990,11544205,0
108,A13983707,0,0,0,0,0,0,-390546,15320520,0,6847880
109,A13981405,0,43531270,0,0,0,7740000,6056749,15222850,0,10404300
110,A13983608,0,0,0,0,0,0,3167270,15635250,152570,8776770
111,A13982002,0,0,63560,0,0,0,3503950,13573050,0,0
112,A13982604,30379170,45528570,0,0,0,84577080,24874197,104613540,7325090,0
113,A13982103,0,0,0,0,0,0,711450,12372390,0,5422990
114,A13920706,32006450,47421400,0,0,-32217000,32217000,7234461,59301200,14160040,0
115,A13981901,5472970,21630980,0,0,0,10171200,5761210,21836740,2669150,0
116,A13982003,3666210,13090000,0,0,0,9578400,3706430,15068770,250150,6299600
117,A13920105,0,0,25200,0,0,0,613430,12156170,541780,4928500
118,A13971501,5510520,5698350,0,0,0,9480000,7947505,22982340,127190,11891560
119,A13920102,0,0,0,0,0,0,969210,8990420,66960,4045030
120,A13989701,0,0,102900,0,0,0,6450600,25377370,-2770,13345780
121,A13920803,14957620,54543550,0,0,0,33793500,12160710,64977250,12000000,0
122,A13994302,6175900,17432270,0,0,2923200,8212800,4997550,19226200,3400000,0
123,A13983713,28477552,0,-1221820,1206900,12229000,0,3663390,0,432074,0
124,A13983709,0,0,0,0,0,0,21893971,0,9345010,0
125,A13981606,0,0,0,0,0,0,6594947,13658570,-1360,6623720
126,A13981304,389560,3837240,0,1748000,655520,6555250,0,16485690,0,0
127,A13983803,0,0,45980,0,0,0,3403820,8167130,806190,4107600
128,A13980903,0,0,0,0,0,0,3022720,7792220,195880,0
129,A13982702,15062360,15357000,0,0,-10638600,10638600,5222590,20706930,218910,10172070
130,A13983816,3061440,50979580,0,0,0,13642000,13161550,36144730,58640,22202190
131,A13981001,0,0,108210,0,0,0,702830,2706890,-80,1701980
132,A13982005,4017270,10759400,0,0,0,7751700,2799050,14816040,650660,0
133,A13974101,3498440,15353720,0,0,0,7792400,4565577,13965120,0,9639950
134,A13982704,9142310,64757250,0,0,0,45433500,14839470,59671510,3811260,0
135,A13982202,14757870,35907100,0,0,0,33113500,7375825,41677830,3804945,0
136,A13982101,0,0,0,0,0,0,7696520,0,3486320,0
137,A13920207,0,0,0,0,0,0,4200412,15852190,0,9744410
138,A13981903,19956290,55840200,0,0,0,34578920,8145234,59717090,1946540,0
139,A13983101,140660,1926800,1810,0,-80,1313000,-4170,1880580,-17960,0
140,A13920506,88412530,0,0,0,0,19967500,8671686,45480700,4303650,19409280
141,A13920703,0,0,446190,0,0,0,518150,0,800000,0
142,A13920202,0,0,0,0,0,0,10725170,0,0,0
143,A13981006,0,0,0,0,0,0,6209831,23740440,0,12322140
144,A13983811,4305340,28393500,0,0,0,15650900,7772414,27636920,0,7077630
