,kaptCode,heatC,heatP,gasC,gasP,waterHotC,waterHotP,electC,electP,waterCoolC,waterCoolP
118,A13971501,,,0,0,,,,,,
119,A13920102,0,0,0,0,0,0,675560,7410870,,
120,A13989701,,,,,,,,,,
121,A13920803,,,,,,,,,13000000,0
122,A13994302,,,,,9492000,0,3140014,0,3500000,0
123,A13983713,43803550,0,,,4130139,0,,,741396,0
124,A13983709,0,0,0,0,0,0,20868432,0,,
125,A13981606,,,,,,,4166242,12216940,,
126,A13981304,1328145,13746600,0,2710000,,,,,,
127,A13983803,,,,,0,0,,,,
128,A13980903,0,0,0,0,,,,,497700,0
129,A13982702,16851930,22476300,0,0,-12127110,12127110,4567110,20681410,6060,10425090
130,A13983816,3061230,41601240,0,0,0,29773000,,,,
131,A13981001,0,0,296840,0,,,473800,2794320,,
132,A13982005,4661220,14230000,0,0,,,1499866,12707610,674100,0
133,A13974101,2537590,19407310,0,0,0,7688700,,,,
134,A13982704,,,,,,,,,3451780,0
135,A13982202,15724460,42230060,0,0,0,35308000,,,,
136,A13982101,0,0,,,0,0,,,,
137,A13920207,0,0,0,0,0,0,4234274,13701080,,
138,A13981903,22157690,55064260,,,0,47240000,10534479,44618430,,
139,A13983101,,,,,,,,,-23790,0
140,A13920506,,,,,0,24031000,,,,
141,A13920703,,,222240,0,0,0,366180,0,,
142,A13920202,,,,,0,0,,,0,0
143,A13981006,0,0,,,0,0,,,300840,12388230
144,A13983811,3998960,32124960,0,0,0,17248500,,,,
145,A13971502,17377840,78117738,0,0,,,,,,
146,A13989702,0,0,0,0,0,0,,,,
147,A13920104,,,,,,,,,,
148,A13983801,0,0,0,0,,,1945760,6492609,17570,6058750
149,A13973201,,,,,,,,,,
150,A13981204,0,0,0,0,0,0,,,132970,2196780
151,A13983004,,,,,,,,,21915950,0
152,A13920501,,,,,,,1831231,8027380,,
153,A13920802,60919900,0,0,0,0,35490000,,,,
154,A13981208,,,0,0,,,,,15701230,15701340
155,A13983105,20850060,57463120,0,0,,,,,,
156,A10027601,,,,,,,5578950,14825090,30750,8102390
157,A10025133,0,0,0,0,0,0,,,1056780,11926550
158,A10027533,,,,,,,,,,
159,A10024547,0,0,,,,,,,,
160,A10024770,,,,,,,,,,
161,A10024434,,,,,,,,,,
162,A13985402,0,0,,,,,2123893,9489940,,
163,A13985907,,,0,0,0,0,,,,
164,A13985605,0,0,0,0,,,5555530,3404910,0,9805230
165,A13986207,,,,,,,7770510,0,,
166,A13985904,,,,,0,10068000,171030,12069240,,
167,A13922406,,,,,-13335300,13335300,,,,
168,A13922105,,,,,0,4064100,,,475570,1349920
169,A13922001,0,0,,,,,,,,
170,A13986606,,,,,,,3087614,13781360,,
171,A13922102,,,,,0,0,,,-14670,5330600
172,A13986004,,,,,-7899500,7899500,,,,
173,A13986013,,,0,0,,,10660953,33278230,8643320,0
174,A13985909,0,0,0,0,0,0,,,2517150,0
175,A13922907,,,,,0,0,,,,
176,A13922903,8445780,38154400,,,-8616000,8616000,2745213,24408880,,
177,A13922103,0,0,0,0,0,0,,,-1580,5543420
178,A13986509,,,0,0,0,15669000,696800,8750320,,
179,A13922910,0,0,0,0,0,0,,,789360,0
180,A13972601,,,0,0,0,15387000,,,1719760,0
181,A13986302,55546890,48246130,,,20915570,20909950,58340730,47039150,,
182,A13985908,,,,,,,,,,
183,A13922909,,,,,0,0,3303250,0,,
184,A13922114,61591060,66446830,,,,,3348662,55170040,11638690,0
185,A13986111,,,,,,,,,,
186,A13986701,0,0,-15970,224680,0,0,,,39300,0
187,A13922111,2878300,22342200,0,0,0,12254400,,,,
188,A13922908,0,0,,,,,4455040,17442130,255260,9528380
189,A13993001,,,,,,,,,,
190,A13972603,37616960,35330260,0,0,29816600,29816600,4977630,0,,
191,A13986306,,,,,,,-7475000,59643040,,
192,A13922904,,,0,0,0,0,,,,
193,A13986703,0,0,,,,,,,,
194,A13986012,0,0,,,,,,,78000,0
195,A13986702,0,0,67170,0,,,2051760,6628080,,
196,A13986504,14668215,78330980,,,,,,,,
197,A13985406,0,0,0,0,,,,,0,0
198,A13922110,4618260,25100920,,,,,,,,
199,A13993002,,,,,,,,,,
200,A13922108,12509950,32583370,,,,,7111050,26111650,,
201,A13986505,6872810,44719280,0,0,,,237390,0,90880,0
202,A13986201,0,0,,,0,0,2582130,8071310,-760,4730990
203,A13922003,0,0,0,0,0,0,,,,
204,A13922905,,,0,0,0,0,4993063,19291430,-2720,9660250
205,A13986009,2646240,38761320,0,0,,,,,,
206,A13922901,,,,,,,1093560,7856540,,
207,A13922002,,,,,,,,,0,0
208,A13972602,0,0,,,,,4315180,9403300,,
